main_file;&Datei
main_open;&Openen...
main_desc_open; Open a Portfolio
main_new;&Neue...
main_desc_new;Schaffen Portfolio
main_delete;&Verwijderen
main_desc_delete; Delete a Portfolio
main_save;&Opslaan
main_desc_save; Save current Portfolio data
main_saveas;&Opslaan als  ...
main_desc_saveas; Save Portfolio under new name
main_edit;&Eigenschappen
main_desc_edit; edit the current portfolio's properties
main_exit;&Afsluiten
main_desc_exit; Terminate iTrade application
main_close;&Schließen
main_desc_close; Close the window
main_managelist;&Manage Symbols
main_desc_managelist; Manage the List of Symbols (update by downloading, editing, etc.)

main_window;&Fenster

main_view;&Views
main_quote;&Acktie
main_matrix;&Matrix

main_view_portfolio;&Portfolio
main_view_desc_portfolio; Change current view to Portfolio view
main_view_quotes;&Aktien
main_view_desc_quotes; Change current view to Quotes view
main_view_stops;&Stops
main_view_desc_stops; Change current view to Stops view
main_view_indicators;&Indikatoren
main_view_desc_indicators; Change current view to Indicators view

main_view_operations;&Borsentransaktion
main_view_desc_operations; Manage the transactions on the current portfolio
main_view_money;&Money Management
main_view_desc_money; Money Management
main_view_evaluation;&Schatzung
main_view_desc_evaluation; Performance evaluation of the portfolio
main_view_trading;&Trading
main_view_desc_trading; Display general Trading information for the portfolio

main_view_compute;&Taschenrechner
main_view_desc_compute;Taschenrechner
main_view_convert;Con&verter
main_view_desc_convert; Converter between two currencies

main_view_refresh;&Vernieuwen
main_view_desc_refresh; Refresh now the current view
main_view_autorefresh;&Aktualisieren automatisch
main_view_desc_autorefresh; Refresh the current view automatically
main_view_autosize;Auto size columns widths
main_view_desc_autosize; Auto size columns widths according to data and header

main_view_small;Klein Text
main_view_desc_small; Use small text size to display the matrix
main_view_normal;Normaal Text
main_view_desc_normal; Use normal text size to display the matrix
main_view_big;Groot Text
main_view_desc_big; Use big text size to display the matrix

main_quote_add;Toevoegenr ...
main_quote_desc_add; Add a quote in the list
main_quote_remove;Verwijderen
main_quote_desc_remove; Remove current select Quote from the list
main_quote_graph;Historical Graphs
main_quote_desc_graph; Display historical graphs for the current selected Quote
main_quote_live;Live
main_quote_desc_live; Display notebook for the current selected Quote
main_quote_intraday;Intraday
