main_file;&File
main_open;&Apri ...
main_desc_open; Apri Portafoglio
main_new;&Nuovo
main_desc_new; Crea Portafoglio
main_delete;&Elimina
main_desc_delete; Elimina Portafoglio
main_save;&Opzioni
main_desc_save; Salva dati in questo Portafoglio
main_saveas;&Salva come ...
main_desc_saveas; Salva Portafoglio con nuovo nome
main_edit;&Proprietà
main_desc_edit; Modifica proprietà di questo Portafoglio
main_exit;E&sci
main_desc_exit; Termina iTrade
main_close;&Chiudi
main_desc_close; Chiudi finestra
main_managelist;&Gestisci Simboli
main_desc_managelist; Gestisci Lista Simboli (aggiornamento via internet, modifica, ecc.)

main_window;&Finestra

main_view;&Visualizza
main_quote;&Quotazione
main_matrix;&Lista Titoli

main_view_portfolio;&Portafoglio
main_view_desc_portfolio; Visualizza Portafoglio
main_view_quotes;&Quotazioni
main_view_desc_quotes; Visualizza Quotazioni
main_view_stops;&Stop
main_view_desc_stops; Visualizza Stop
main_view_indicators;&Indicatori
main_view_desc_indicators; Visualizza Indicatori

main_view_operations;&Operazioni
main_view_desc_operations; Gestisci operazioni di questo Portafoglio
main_view_money;&Gestisci Denaro
main_view_desc_money; Gestisci Denaro
main_view_evaluation;&Rendimento
main_view_desc_evaluation; Valuta Rendimento Portafoglio
main_view_trading;&Trading
main_view_desc_trading; Visualizza Informazioni Trading del Portafoglio

main_view_compute;&Computer
main_view_desc_compute; Computer

main_view_refresh;&Aggiorna ora
main_view_desc_refresh; Aggiorna ora visualizzazione corrente
main_view_autorefresh;Aggiornamento Automatico
main_view_desc_autorefresh; Aggiorna automaticamente la visualizzazione corrente
main_view_autosize;__xAuto size columns widths
main_view_desc_autosize; __xAuto size columns widths according to data and header

main_view_small;Caratteri Piccoli
main_view_desc_small; Usa caratteri piccoli nella lista titoli
main_view_normal;Caratteri Normali
main_view_desc_normal; Usa caratteri normali nella lista titoli
main_view_big;Caratteri Grandi
main_view_desc_big; Usa caratteri grandi nella lista titoli

main_quote_add;Aggiungi ...
main_quote_desc_add; Aggiungi quotazione alla lista
main_quote_remove;Elimina
main_quote_desc_remove; Elimina la quotazione selezionata dalla lista
main_quote_graph;Grafico Storico
main_quote_desc_graph; Visualizza grafico storico del titolo selezionato
main_quote_live;Real Time
main_quote_desc_live; Visualizza il Book del titolo selezionato
main_quote_intraday;Intraday
main_quote_desc_intraday; Visualizzazione Intraday del titolo selezionato
main_quote_news;News
main_quote_desc_news; Visualizza News del titolo selezionato
main_quote_table;Dati grezzi
main_quote_desc_table; Visualizza dati grezzi del titolo selezionato
main_quote_analysis;Analisi
main_quote_desc_analysis; Visualizza Analisi Tecnica del titolo selezionato
main_quote_buy;Acquista
main_quote_desc_buy; Operazione di Acquisto del titolo selezionato
main_quote_sell;Vendi
main_quote_desc_sell; Operazione di Vendita del titolo selezionato
main_quote_property;Proprietà
main_quote_desc_property; Visualizza proprietà del titolo selezionato

main_options;&Opzioni

main_options_access;&Accesso
main_options_desc_access; Parametri di accesso per alcuni connettori

main_options_lang;&Lingua
main_options_desc_lang; Seleziona Lingua
main_options_lang_default;Lingua Di Sistema
main_options_lang_english;Inglese
main_options_lang_french;Francese
main_options_lang_portuguese;Portoghese
main_options_lang_deutch;Tedesco
main_options_lang_italian;Italiano

main_options_cache;&Caching
main_options_desc_cache; Gestione caching 
main_cache_erase_data;Cancella &Dati storici
main_cache_desc_erase_data;Cancella dati storici dalla cache
main_cache_erase_news;Cancella &News
main_cache_desc_erase_news;Cancella tutte le news dalla cache
main_cache_erase_all;Cancella &Tutto
main_cache_desc_erase_all; Cancella tutti i dati (news, storici, ...) dalla cache

main_options_connexion;&Connessione
main_options_desc_connexion; Impostazione di Connessione (Proxy)

main_help;&Aiuto
main_help_contents;&Manuale
main_help_desc_contents; Manuale di Aiuto
main_help_support;&Supporto Tecnico ...
main_help_desc_support; Ti serve Supporto Tecnico ?
main_help_bugs;&Segnala Bug ...
main_help_desc_bugs; Segnala un bug al team di sviluppo
main_help_forum;Vai al &Forum
main_help_desc_forum; Partecipa al forum della comunità di iTrade (inglese / francese)
main_help_donors;&Fai una Donazione ...
main_help_desc_donors; Come effettuare donazioni per supportare questo progetto
main_help_checksoftware;&Controlla aggiornamenti ...
main_help_desc_checksoftware; Controlla la disponibilità di nuove versioni

checksoftware_needupdate;Il software deve essere aggiornato ! Vuoi scaricare la nuova versione ?
checksoftware_uptodate;Il software è aggiornato all'ultima versione disponibile.
checksoftware_title;Controlla disponibilità aggiornamenti
checksoftware_development;La tua versione è in corso di sviluppo.
checksoftware_error;Non riesco a ricevere informazioni sul software (problemi di rete ?)

main_about;&Informazioni ...
main_desc_about; Informazioni su iTrade

main_title_portfolio;iTrade - Portafoglio %s:%s
main_title_quotes;iTrade - Lista Titoli %s:%s
main_title_stops;iTrade - Stop %s:%s
main_title_indicators;iTrade - Indicatori %s:%s
main_title_evaluation;iTrade - Rendimento %s:%s
main_title_trading;iTrade - Trading %s:%s

main_refreshing;Sto aggiornando i dati

main_popup_refreshall;Aggiorna Tutto
main_popup_buy;Acquista
main_popup_sell;Vendi
main_popup_remove;Elimina
main_popup_add;Aggiungi ...
main_popup_view;Analizza
main_popup_live;Real Time
main_popup_properties;Proprietà
main_popup_edit;Modifica
main_popup_add_stops;Aggiungi Stop ...
main_popup_edit_stops;Modifica Stop ...
main_popup_remove_stops;Elimina Stop

main_valuation;Valore Portafoglio

html_connecting;In connessione ...
html_noconnect;Nessuna connessione

ok;OK
ok_desc;Questo pulsante valida e completa il dialogo
valid;Applica
valid_desc;Questo pulsante valida e completa il dialogo
