main_file;&Ficheiro
main_open;&Abrir ...
main_desc_open; Abrir uma conta
main_new;&Novo
main_desc_new; Criar uma nova conta
main_delete;&Eliminar
main_desc_delete; Eliminar uma conta
main_save;&Guardar
main_desc_save; Guardar os dados desta conta
main_saveas;&Guardar como ...
main_desc_saveas; Guardar conta sob um nome novo
main_edit;&Propriedades
main_desc_edit; Editar as propriedades da conta actual
main_exit;S&air
main_desc_exit; Terminar a aplicação iTrade
main_close;&Fechar
main_desc_close; Fechar a janela
main_managelist;&Controlar símbolos
main_desc_managelist; Controlar a lista dos símbolos (update por download, de edição, etc.)

main_window;&Janela

main_view;&Vistas
main_quote;&Cotação
main_matrix;&Matriz

main_view_portfolio;&Conta
main_view_desc_portfolio; Mudar a vista actual para a vista da conta
main_view_quotes;&Cotações
main_view_desc_quotes; Mudar a vista actual para a vista das acções
main_view_stops;&Stops
main_view_desc_stops; Mudar a vista actual para a vista dos Stops
main_view_indicators;&Indicadores
main_view_desc_indicators; Mudar a vista actual para a vista dos indicadores

main_view_operations;&Transacções
main_view_desc_operations; Gerir as transacções na conta actual
main_view_money;&Gestão de dinheiro
main_view_desc_money; Gestão de dinheiro
main_view_evaluation; &Desempenho
main_view_desc_evaluation; Avaliação do desempenho da carteira
main_view_trading;&Trading
main_view_desc_trading;Informações gerais de Trading da conta

main_view_compute;&Computador
main_view_desc_compute; Computador
main_view_convert;Con&versão
main_view_desc_convert; Conversão entre dois Divisas

main_view_refresh;&Actualizar agora
main_view_desc_refresh; Actualizar agora a vista actual
main_view_autorefresh;Actualizar automaticamente
main_view_desc_autorefresh; Actualizar automaticamente a vista actual
main_view_autosize;__xAuto size columns widths
main_view_desc_autosize; __xAuto size columns widths according to data and header

main_view_small;Texto pequeno
main_view_desc_small; Usar o tamanho pequeno do texto para visualizar a matriz
main_view_normal;Texto normal
main_view_desc_normal; Usar o tamanho de texto normal para visualizar a matriz
main_view_big;Texto grande
main_view_desc_big; Usar o tamanho de texto grande para visualizar a matriz

main_quote_add;Adicionar ...
main_quote_desc_add; Adicionar uma acção na lista
main_quote_remove;Apagar
main_quote_desc_remove; Apagar a presente selecção de acções da lista
main_quote_graph;Gráficos históricos
main_quote_desc_graph; Visualizar os gráficos históricos para as acções actualmente seleccionadas
main_quote_live;Live
main_quote_desc_live; Visualizar o bloco de notas para as acções actualmente seleccionadas
main_quote_intraday;Intraday
main_quote_desc_intraday; Visualizar intraday para as acções actualmente seleccionadas
main_quote_news;Informações
main_quote_desc_news; Visualizar as notícias para as acções actualmente seleccionadas
main_quote_table;Dado não Corrigido
main_quote_desc_table; Visualizar os dados não corrigidos para as acções actualmente seleccionadas
main_quote_analysis;Análises
main_quote_desc_analysis; Visualizar a análise técnica para as acções actualmente seleccionadas
main_quote_buy;Comprar
main_quote_desc_buy; Operação de compra para as acções actualmente seleccionadas
main_quote_sell;Vender
main_quote_desc_sell; Operação de venda para as acções actualmente seleccionadas
main_quote_property;Propriedades
main_quote_desc_property; Visualizar as propriedades para as acções actualmente seleccionadas

main_options;&Opções

main_options_access;&acesso
main_options_desc_access; Parâmetros de acesso por alguns conectores

main_options_lang;&Língua
main_options_desc_lang; Seleccionar a língua usada por este software
main_options_lang_default;Língua do sistema
main_options_lang_english;Inglês
main_options_lang_french;Francês
main_options_lang_portuguese;Portuguese
main_options_lang_deutch;Deutch
main_options_lang_italian;Italian

main_options_cache;&"cache"
main_options_desc_cache; Gestão do "cache"
main_cache_erase_data; Apagar os Dados &Históricos
main_cache_desc_erase_data; Apagar todos os dados históricos do "cache"
main_cache_erase_news; Apagar as &Informações
main_cache_desc_erase_news; Apagar todas as informações do "cache"
main_cache_erase_all; Apagar &Tudo
main_cache_desc_erase_all; Apagar todos os dados (noticia, historiais...) do "cache"

main_options_connexion;&Conexão
main_options_desc_connexion; Parâmetros de Conexão (Proxy)

main_help;&Ajuda
main_help_contents;&Índices
main_help_desc_contents; Índices de ajuda
main_help_support;&Suporte Técnico ...
main_help_desc_support; Como obter o suporte técnico?
