#GTO.PA;AXL.PA
AAC.A;AAC-A
AAC.B;AAC-B
AAI.UN;AAI-UN
AAL.A;AAL-A
ABF.UN;ABF-UN
ABK.A;ABK-A
ABK.PR.C;ABK-PC
ABO.A;ABO-A
ABO.B;ABO-B
AC.A;AC-A
AC.B;AC-B
ACE.A;ACE-A
ACE.B;ACE-B
ACE.NT.A;ACE-NTA
ACF.UN;ACF-UN
ACM.A;ACM-A
ACM.B;ACM-B
ACO.PR.A;ACO-PA
ACO.X;ACO-X
ACO.Y;ACO-Y
ACQ.UN;ACQ-UN
ACX.WT;ACX-WT
ADC.PR.A;ADC-PA
ADF.UN;ADF-UN
ADJ.UN;ADJ-UN
ADN.UN;ADN-UN
ADW.A;ADW-A
ADW.B;ADW-B
AEM.WT.U;AEM-WTU
AER.UN;AER-UN
AET.UN;AET-UN
AEU.UN;AEU-UN
AFN.UN;AFN-UN
AFP.UN;AFP-UN
AFU.UN;AFU-UN
AFZ.UN;AFZ-UN
AG.DB;AG-DB
AG.UN;AG-UN
AGF.B;AGF-B
AGI.DB;AGI-DB
AI.UN;AI-UN
AIF.UN;AIF-UN
AIG.UN;AIG-UN
AIM.UN;AIM-UN
AIN.UN;AIN-UN
AKT.A;AKT-A
AKT.B;AKT-B
AL.PR.E;AL-PE
AL.PR.F;AL-PF
ALA.UN;ALA-UN
ALB.PR.A;ALB-PA
AMT.UN;AMT-UN
AN.DB;AN-DB
AN.UN;AN-UN
AO.PR.A;AO-PA
AO.PR.B;AO-PB
AOG.UN;AOG-UN
AP.UN;AP-UN
APF.DB;APF-DB
APF.DB.A;APF-DBA
APF.UN;APF-UN
AR.PR.A;AR-PA
AR.PR.B;AR-PB
AR.PR.D;AR-PD
ARA.PR.A;ARA-PA
ARA.PR.B;ARA-PB
ARF.UN;ARF-UN
ART.UN;ART-UN
ASC.PR.A;ASC-PA
ASI.PR.A;ASI-PA
ASI.UN;ASI-UN
ATD.A;ATD-A
ATD.B;ATD-B
ATF.UN;ATF-UN
ATP.DB;ATP-DB
ATP.UN;ATP-UN
ATS.UN;ATS-UN
AU.PR.A;AU-PA
AVF.UN;AVF-UN
AVK.WT;AVK-WT
AVN.DB;AVN-DB
AVN.DB.A;AVN-DBA
AVN.DB.B;AVN-DBB
AVN.DB.C;AVN-DBC
AVN.DB.D;AVN-DBD
AVN.DB.E;AVN-DBE
AVN.UN;AVN-UN
AW.UN;AW-UN
AX.DB.A;AX-DBA
AX.DB.B;AX-DBB
AX.DB.C;AX-DBC
AX.UN;AX-UN
BA.UN;BA-UN
BAC.UN;BAC-UN
BAD.UN;BAD-UN
BAE.UN;BAE-UN
BAI.UN;BAI-UN
BAJ.WT;BAJ-WT
BAM.A;BAM-A
BAM.PR.B;BAM-PB
BAM.PR.C;BAM-PC
BAM.PR.E;BAM-PE
BAM.PR.G;BAM-PG
BAM.PR.H;BAM-PH
BAM.PR.I;BAM-PI
BAM.PR.J;BAM-PJ
BAM.PR.K;BAM-PK
BAM.PR.L;BAM-PL
BAM.PR.M;BAM-PM
BAM.PR.T;BAM-PT
BAO.UN;BAO-UN
BBD.A;BBD-A
BBD.B;BBD-B
BBD.PR.B;BBD-PB
BBD.PR.C;BBD-PC
BBD.PR.D;BBD-PD
BBL.A;BBL-A
BBO.PR.A;BBO-PA
BCA.PR.A;BCA-PA
BCE.PR.A;BCE-PA
BCE.PR.C;BCE-PC
BCE.PR.E;BCE-PE
BCE.PR.F;BCE-PF
BCE.PR.G;BCE-PG
BCE.PR.H;BCE-PH
BCE.PR.I;BCE-PI
BCE.PR.R;BCE-PR
BCE.PR.S;BCE-PS
BCE.PR.T;BCE-PT
BCE.PR.Y;BCE-PY
BCE.PR.Z;BCE-PZ
BCI.UN;BCI-UN
BCX.A;BCX-A
BCX.PR.A;BCX-PA
BDA.UN;BDA-UN
BDB.NT.A;BDB-NTA
BDB.NT.D;BDB-NTD
BDB.NT.G;BDB-NTG
BDB.NT.H;BDB-NTH
BDB.NT.I;BDB-NTI
BDB.NT.J;BDB-NTJ
BDB.NT.K;BDB-NTK
BDB.NT.M;BDB-NTM
BDB.NT.N;BDB-NTN
BDB.NT.S;BDB-NTS
BDI.UN;BDI-UN
